rank,name,handle,channel_id,channel_url,uploads_playlist,country_or_region,primary_niche,tags,isabella_priority,isabella_match_reason,summary_es,summary_en,tone,speech_speed,subtitle_reliability,shorts_volume_score,recent_shorts_sample_count,recent_2026_shorts_sample_count,captioned_sample_count,recent_shorts_median_views,recent_shorts_top_view_count,subscriber_count,total_video_count,adult_risk,review_confidence,approval_source,quality_notes,evidence_urls
11,Jenny Devil,@jennydevil,UCDgObzDHQmj_IgHBkCp0HyQ,https://www.youtube.com/@jennydevil,UUDgObzDHQmj_IgHBkCp0HyQ,US,lifestyle,unboxing|pop_culture|toys|blind_boxes|entertainment|lifestyle|collections|reviews,false,,"Canal de entretenimiento enfocado en el unboxing de juguetes, cajas sorpresa y artículos de cultura pop.","Entertainment channel focused on unboxing toys, blind boxes, and pop culture items.",enthusiastic,fast,medium,4,33,33,0,2531379,10454882,16000000,1499,low,high,strict_review,High energy unboxing content. Vocabulary is accessible but speech can be rapid.,https://www.youtube.com/shorts/WV1xnANsF6E|https://www.youtube.com/shorts/9eH62Voiovs|https://www.youtube.com/shorts/AADF_fv2rE4|https://www.youtube.com/shorts/A4VAE4P0nSM|https://www.youtube.com/shorts/od4-XgJi47k
12,Karina & Marina,@karinamarina,UCfgn1AVa96Rye5DRETetq6g,https://www.youtube.com/@karinamarina,UUfgn1AVa96Rye5DRETetq6g,ES,lifestyle,lifestyle|comedy|vlogs|teen_life|humor|entertainment|daily_life|challenges,true,Fun lifestyle and comedy vlogs that provide great exposure to everyday conversational Spanish.,"Canal de estilo de vida y comedia juvenil con vlogs, retos y situaciones divertidas de la vida diaria.","Teen lifestyle and comedy channel featuring vlogs, challenges, and funny everyday situations.",lighthearted,fast,medium,3,27,27,0,399524,5056222,9180000,1600,low,high,strict_review,"Youth-oriented lifestyle content with clear, native Spanish dialogue.",https://www.youtube.com/shorts/WwSARLB4NxY|https://www.youtube.com/shorts/AgEUvWQBqwo|https://www.youtube.com/shorts/nxzxpBWQqqI|https://www.youtube.com/shorts/3ZRHHuWmRrk|https://www.youtube.com/shorts/CCshsrtbz0c
13,Camila Merchant,@camilamerchant,UC8JLtamR2_3vRYqDkgIQ1eQ,https://www.youtube.com/@camilamerchant,UU8JLtamR2_3vRYqDkgIQ1eQ,unknown,lifestyle,lifestyle|vlogs|music|singing|relationships|daily_life|entertainment|personal_stories,true,"Engaging lifestyle vlogs and personal stories, excellent for learning natural, everyday Spanish.","Canal de estilo de vida donde la creadora comparte vlogs personales, sorpresas, cambios de look y su talento musical.","Lifestyle channel where the creator shares personal vlogs, surprises, makeovers, and her musical talent.",upbeat,medium,medium,5,42,37,0,1335611,27433393,6810000,778,low,high,strict_review,High-quality vlogs with clear articulation and engaging storytelling.,https://www.youtube.com/shorts/T_91w3MR3-A|https://www.youtube.com/shorts/Ks3JNjU52Rk|https://www.youtube.com/shorts/gE9GqIJ_x8k|https://www.youtube.com/shorts/p2dAGGGgg3c|https://www.youtube.com/shorts/naVHr4eTEgs
14,Miricraft,@miricraft,UC4HZhRN1-GilXGiNhETtGsA,https://www.youtube.com/@miricraft,UU4HZhRN1-GilXGiNhETtGsA,ES,making_from_scratch,making_from_scratch|diy|crafts|fidget_toys|tutorials|handmade|creativity|hobbies,true,Step-by-step DIY and crafting tutorials are highly valued for learning instructional and descriptive Spanish.,"Canal dedicado a tutoriales paso a paso de manualidades, juguetes antiestrés y proyectos DIY creativos.","Channel dedicated to step-by-step tutorials for crafts, fidget toys, and creative DIY projects.",instructional,medium,medium,5,50,50,0,1377206,9208836,2450000,790,low,high,strict_review,"Excellent instructional content with clear, descriptive language.",https://www.youtube.com/shorts/1YwO_fFtJWY|https://www.youtube.com/shorts/Q7djHRnNdug|https://www.youtube.com/shorts/EAj2bxSZ528|https://www.youtube.com/shorts/Bv7Q8WM_tgg|https://www.youtube.com/shorts/kEYssnV6V5w
15,Fer Jalil,@fer_jalil,UCh5VlNcGFpLFwOeU7bcazBA,https://www.youtube.com/@fer_jalil,UUh5VlNcGFpLFwOeU7bcazBA,unknown,lifestyle,lifestyle|vlogs|travel|storytime|comedy|personal_stories|entertainment|daily_life,true,"High-quality lifestyle, travel, and storytime content that is perfect for conversational language learners.","Canal de estilo de vida y vlogs que documenta viajes, anécdotas personales y experiencias curiosas.","Lifestyle and vlog channel documenting travels, personal anecdotes, and curious experiences.",adventurous,fast,medium,4,36,36,0,1972960,11350850,11700000,1470,low,high,strict_review,Very engaging storytelling and high production value.,https://www.youtube.com/shorts/28eR2vAAPsE|https://www.youtube.com/shorts/Lj0AoiLPkC4|https://www.youtube.com/shorts/HjhpRE9nt5g|https://www.youtube.com/shorts/ktOR_tvvWio|https://www.youtube.com/shorts/bElA43gmYmU
16,Xiaro Juega,@xiarojuega,UCepGvghmp1kwLy9saO2BAhA,https://www.youtube.com/@xiarojuega,UUepGvghmp1kwLy9saO2BAhA,unknown,gaming,gaming|minecraft|comedy|roleplay|humor|entertainment|video_games|storytelling,false,,Canal de videojuegos enfocado en cortos de comedia y rol dentro del universo de Minecraft.,Gaming channel focused on comedy and roleplay shorts within the Minecraft universe.,energetic,fast,medium,5,45,13,0,5645503,20590175,2970000,105,low,high,strict_review,Fast-paced gaming shorts with native Spanish commentary.,https://www.youtube.com/shorts/2CJvspfqfTM|https://www.youtube.com/shorts/v0m69PHbm9c|https://www.youtube.com/shorts/NDMHgev2Tdo|https://www.youtube.com/shorts/BVPkZm2XTzQ|https://www.youtube.com/shorts/AsXJStcjLeU
17,Didiwinx,@didiwinx,UCTxwHissiCnxMQ591w-_uYQ,https://www.youtube.com/@didiwinx,UUTxwHissiCnxMQ591w-_uYQ,MX,lifestyle,lifestyle|comedy|food_tasting|vlogs|humor|entertainment|daily_life|reactions,true,"Fun lifestyle and food-related comedy content, great for learning casual, everyday Spanish vocabulary.","Canal de comedia y estilo de vida que incluye pruebas de comida, vlogs divertidos y reacciones.","Comedy and lifestyle channel featuring food tasting, funny vlogs, and reactions.",humorous,fast,medium,3,22,22,0,2517827,6192269,9050000,1125,low,high,strict_review,"Casual, conversational Spanish with a lot of humor and personality.",https://www.youtube.com/shorts/1MYYpLbikoI|https://www.youtube.com/shorts/rinasnhEXqs|https://www.youtube.com/shorts/87i-sEB8bOo|https://www.youtube.com/shorts/NrErfi7wuII|https://www.youtube.com/shorts/RH8kZKrpyo0
18,Eliot Channel Mx,@eliotchannelmx,UCicv75Se8iS6otnQJ_4Pa_A,https://www.youtube.com/@eliotchannelmx,UUicv75Se8iS6otnQJ_4Pa_A,MX,commentary,pop_culture|entertainment_news|gossip|influencers|news|commentary|trends|social_media,false,,"Canal de noticias y cultura pop enfocado en las últimas tendencias, influencers y eventos del mundo del entretenimiento.","News and pop culture channel focused on the latest trends, influencers, and events in the entertainment world.",informative,fast,medium,5,49,49,0,95509,4342278,15500000,13173,low,high,strict_review,"Professional entertainment news format with clear, albeit fast, narration.",https://www.youtube.com/shorts/3PYMMsR3Yv8|https://www.youtube.com/shorts/unoN6QR_fkE|https://www.youtube.com/shorts/5KGtTafuyeQ|https://www.youtube.com/shorts/-YkbVbJ6KSY|https://www.youtube.com/shorts/oNedF15CU8s
19,El Tío Néstor,@soytionestor,UCLKqPeUlDBTxDe2x8QTpLlg,https://www.youtube.com/@soytionestor,UULKqPeUlDBTxDe2x8QTpLlg,MX,comedy,comedy|skits|relatable|everyday_life|humor|entertainment|spanish_learning|mexico,false,,Canal de comedia con sketches sobre situaciones cotidianas y relaciones familiares.,Comedy channel featuring skits about everyday situations and family relationships.,humorous,fast,medium,5,50,50,0,470697,8538027,20300000,1999,low,high,strict_review,"Good production quality and clear, relatable everyday vocabulary.",https://www.youtube.com/shorts/2fenk0EEGkc|https://www.youtube.com/shorts/oGyvz8kbu58|https://www.youtube.com/shorts/edyN8rVkkxg|https://www.youtube.com/shorts/X2xQhYBGNc4|https://www.youtube.com/shorts/XhPp3EMqPRI
20,Nicolasa,@nicolasa_arreola,UCh8sKWctzzi-JvFndeMprGg,https://www.youtube.com/@nicolasa_arreola,UUh8sKWctzzi-JvFndeMprGg,US,lifestyle,lifestyle|vlogs|motherhood|cleaning_routine|makeup_tutorial|everyday_life|home|mexico|daily_vlog,true,"Authentic lifestyle vlogs, cleaning routines, and everyday life commentary.","Vlogs de estilo de vida, rutinas de limpieza, maternidad y tutoriales de maquillaje.","Lifestyle vlogs, cleaning routines, motherhood, and makeup tutorials.",casual,medium,medium,4,40,37,0,2370559,16818202,2220000,942,low,high,strict_review,"Very natural spoken Spanish, excellent for learning everyday vocabulary and household terms.",https://www.youtube.com/shorts/fmIEzpTOrOg|https://www.youtube.com/shorts/P8ZeNfkOnwc|https://www.youtube.com/shorts/_TRg0YZdfZo|https://www.youtube.com/shorts/pm8n3BA-Lzc|https://www.youtube.com/shorts/oom5_NdhUWM
21,Paul Ferrer Z,@paulferrerz,UCHYTbWCyso-kHsE9IqpW6fw,https://www.youtube.com/@paulferrerz,UUHYTbWCyso-kHsE9IqpW6fw,ES,comedy,comedy|skits|pov|humor|relatable|entertainment|spanish_learning|friends|sports_humor,false,,"Sketches de comedia estilo POV sobre situaciones con amigos, fútbol y la vida diaria.","POV-style comedy skits about situations with friends, soccer, and daily life.",humorous,fast,medium,5,43,43,0,2927091,27346826,17900000,1830,medium,high,strict_review,Good for learning casual slang and conversational pacing.,https://www.youtube.com/shorts/VNTp2QDZ3dk|https://www.youtube.com/shorts/-opSLBA8oIA|https://www.youtube.com/shorts/H6Oj-1ZKUV8|https://www.youtube.com/shorts/h67Y8eGP7W8|https://www.youtube.com/shorts/KsST5N8n38s
22,LeylaStar,@leylastar,UCfG-pUjqBk0axjSBzsyg_PA,https://www.youtube.com/@leylastar,UUfG-pUjqBk0axjSBzsyg_PA,US,comedy,comedy|skits|relatable|humor|everyday_life|lifestyle|entertainment|spanish_learning,false,,Sketches de comedia y situaciones con las que es fácil identificarse sobre la vida diaria y la infancia.,Comedy skits and relatable situations about daily life and childhood.,humorous,fast,medium,4,31,31,0,454353,10687725,11200000,2036,low,high,strict_review,High production value and clear enunciation despite the fast pace.,https://www.youtube.com/shorts/GgRwK7QiiNo|https://www.youtube.com/shorts/gG_9UkdNONI|https://www.youtube.com/shorts/MqYXWPvCjGo|https://www.youtube.com/shorts/cjmFIKkVwW0|https://www.youtube.com/shorts/sYexRVLx4Nc
23,Pedro Palencia,@pedropalencia,UC8GTvSootGOomEkbsBWhG9w,https://www.youtube.com/@pedropalencia,UU8GTvSootGOomEkbsBWhG9w,ES,comedy,comedy|skits|relatable|humor|everyday_life|friends|entertainment|spanish_learning,false,,Sketches cómicos sobre situaciones incómodas y divertidas de la vida cotidiana.,Comedic skits about awkward and funny everyday life situations.,humorous,fast,medium,5,49,41,0,1261926,103383144,5570000,545,low,high,strict_review,Engaging content with practical vocabulary for social situations.,https://www.youtube.com/shorts/SqkHuAzX10M|https://www.youtube.com/shorts/brWJSPU_qdU|https://www.youtube.com/shorts/wZaFBjpCzi4|https://www.youtube.com/shorts/kAgSqquth3M|https://www.youtube.com/shorts/pKqNzMaJwvc
24,Nachter,@nachter,UCjzJBLLJOtnxGeVl1hc4r_Q,https://www.youtube.com/@nachter,UUjzJBLLJOtnxGeVl1hc4r_Q,ES,comedy,comedy|skits|family_humor|relatable|everyday_life|spain|entertainment|spanish_learning,false,,"Humor familiar y sketches sobre situaciones típicas entre padres, hijos y parejas.","Family-friendly humor and skits about typical situations between parents, children, and couples.",humorous,fast,medium,5,47,47,2,163637,553316,6410000,6478,low,high,strict_review,Very popular creator with clear speech and universally relatable themes.,https://www.youtube.com/shorts/IFDYsFCYV94|https://www.youtube.com/shorts/zQw-RS5Gsx0|https://www.youtube.com/shorts/h5H4-tSDS-w|https://www.youtube.com/shorts/pjfURdBbEHU|https://www.youtube.com/shorts/R8JLJMNUZhU
25,Cami Slimes,@camislimes,UC_3MsQvTqEgcGyJNQgqJ4xw,https://www.youtube.com/@camislimes,UU_3MsQvTqEgcGyJNQgqJ4xw,PE,making_from_scratch,diy|crafts|slime|small_business|packing_orders|asmr|peru|making_from_scratch|lifestyle,true,"DIY, crafts, and small business content with natural spoken Spanish.","Creación de slime, preparación de pedidos y contenido sobre su pequeño negocio en Perú.","Slime making, order packing, and content about her small business in Peru.",casual,medium,medium,5,50,15,0,170591,1042888,3890000,683,low,medium,strict_review,"Good for learning vocabulary related to crafts, business, and instructions.",https://www.youtube.com/shorts/RNiGGg8V-pE|https://www.youtube.com/shorts/9mkYpnKznTY|https://www.youtube.com/shorts/kChQIZqP1VU|https://www.youtube.com/shorts/_mTQmwaOYd0|https://www.youtube.com/shorts/rKwsZKtzP9s
26,Mariana Palacios,@marianapalacios,UC0eawIoEEFRYGf4cyfAPjJg,https://www.youtube.com/@marianapalacios,UU0eawIoEEFRYGf4cyfAPjJg,MX,lifestyle,lifestyle|storytime|commentary|vlog|opinion|pop_culture|comedy|entertainment,true,"High-quality storytime and lifestyle content, perfect for conversational Spanish learning.","Canal de estilo de vida y storytimes donde la creadora comparte anécdotas personales, opiniones y vlogs de su día a día.","Lifestyle and storytime channel where the creator shares personal anecdotes, opinions, and daily vlogs.",energetic,fast,medium,5,49,49,0,496404,6429708,7630000,1341,low,high,strict_review,"High production value and engaging storytelling, excellent for advanced listening comprehension.",https://www.youtube.com/shorts/X0B1KSzZXxg|https://www.youtube.com/shorts/b7R8OD8Stxc|https://www.youtube.com/shorts/xH6-H2G1Miw|https://www.youtube.com/shorts/mCb1i-MS9go|https://www.youtube.com/shorts/PasuEAFUNq4
27,TOBBAL SHORTS,@tobbal,UCFfQRka32oFIvJykfkQ-H-w,https://www.youtube.com/@tobbal,UUFfQRka32oFIvJykfkQ-H-w,ES,comedy,comedy|commentary|humor|entertainment|lifestyle|opinion|pop_culture|gaming,false,,Canal de comedia y comentarios enfocado en reacciones humorísticas y situaciones divertidas de la vida cotidiana.,Comedy and commentary channel focused on humorous reactions and funny everyday situations.,humorous,fast,medium,5,50,50,0,1415468,16974308,1800000,1026,medium,high,strict_review,Good for learning colloquialisms and fast-paced conversational Spanish.,https://www.youtube.com/shorts/_p-mZRER1ZY|https://www.youtube.com/shorts/ZDgFfFsKiiQ|https://www.youtube.com/shorts/UaSEl6wlLV0|https://www.youtube.com/shorts/0HQ6NcZGYrw|https://www.youtube.com/shorts/ypNHmkAXLm0
28,Una maestra con clase,@unamaestraconclase,UCUCCovRfQa83IpUYOF6ClMw,https://www.youtube.com/@unamaestraconclase,UUUCCovRfQa83IpUYOF6ClMw,ES,making_from_scratch,making_from_scratch|diy|crafts|education|parenting|lifestyle|home|family,true,"Excellent DIY and crafts content with clear, instructional Spanish.","Canal educativo y de manualidades dirigido a padres y maestros, con ideas creativas y actividades para hacer con niños.","Educational and crafts channel aimed at parents and teachers, featuring creative ideas and activities to do with children.",educational,medium,medium,5,41,41,0,758688,16404430,739000,258,low,high,strict_review,"Clear articulation and instructional vocabulary, great for learners.",https://www.youtube.com/shorts/E_i5kexaOPY|https://www.youtube.com/shorts/CYsWdCmB2FM|https://www.youtube.com/shorts/5PzwmlSaDIE|https://www.youtube.com/shorts/hQtf4PZuEW0|https://www.youtube.com/shorts/j-Tr6sE0M0s
29,Renata Puente,@soyrenpuentee,UCRSknq6ROIYtRdXxJK37Tpw,https://www.youtube.com/@soyrenpuentee,UURSknq6ROIYtRdXxJK37Tpw,MX,lifestyle,lifestyle|vlog|storytime|entertainment|pop_culture|comedy|daily_life|opinion,true,"Engaging lifestyle vlogs and storytimes that provide authentic, everyday Spanish.","Vlogs de estilo de vida, storytimes y retos donde la creadora comparte su vida diaria y experiencias personales.","Lifestyle vlogs, storytimes, and challenges where the creator shares her daily life and personal experiences.",energetic,fast,medium,4,39,31,0,893955,14612876,2850000,210,low,high,strict_review,Authentic conversational Spanish with modern slang and expressions.,https://www.youtube.com/shorts/Vq7_myKQ6Os|https://www.youtube.com/shorts/SwVJWBCrjZs|https://www.youtube.com/shorts/74iQWAGAIV0|https://www.youtube.com/shorts/4uzs99kMroU|https://www.youtube.com/shorts/HrE9G0qY-Hw
30,Dankev,@dankev,UCHrHJ9PDhruY9XF5WXJ4a7g,https://www.youtube.com/@dankev,UUHrHJ9PDhruY9XF5WXJ4a7g,MX,education,science|education|explainers|trivia|pop_culture|commentary|entertainment|facts,false,,"Canal de curiosidades y datos interesantes sobre ciencia, cultura pop y el mundo en general.","Trivia and interesting facts channel covering science, pop culture, and the world in general.",informative,fast,medium,5,43,43,0,426020,3047774,9300000,2757,low,high,strict_review,"Good for vocabulary building, though the fast-paced narration might be challenging for beginners.",https://www.youtube.com/shorts/AAq3CHZTt6k|https://www.youtube.com/shorts/p2FfWiRgfv8|https://www.youtube.com/shorts/VIHSAMj5IZo|https://www.youtube.com/shorts/6290P9z4ijE|https://www.youtube.com/shorts/mqZEpCkcoYM
31,"SugarBabe, Luxury Press On Nails ",@sugarbabe.pressonnails,UCoJ5pyiZL9xPb_b6AlAg6zQ,https://www.youtube.com/@sugarbabe.pressonnails,UUoJ5pyiZL9xPb_b6AlAg6zQ,PE,making_from_scratch,beauty|making_from_scratch|diy|crafts|lifestyle|business|fashion|nails|art,true,Great making-from-scratch content focusing on nail art and small business operations.,Canal de belleza y emprendimiento enfocado en la creación y venta de uñas postizas personalizadas (press-on nails).,Beauty and entrepreneurship channel focused on the creation and sale of custom press-on nails.,friendly,medium,medium,5,50,50,0,126261,3093366,1570000,2471,low,high,strict_review,"Clear, conversational Spanish with specific vocabulary related to beauty and business.",https://www.youtube.com/shorts/x4hoYxO5mi0|https://www.youtube.com/shorts/EZKjt7FtjaQ|https://www.youtube.com/shorts/ESgXsB_OX5Q|https://www.youtube.com/shorts/xghBCBuK8Fk|https://www.youtube.com/shorts/PYdjoK-o81Y
32,Mi Alter Edu,@mialteredu,UCJm3VkUZBatO7ZhcYJQN8wg,https://www.youtube.com/@mialteredu,UUJm3VkUZBatO7ZhcYJQN8wg,ES,making_from_scratch,making_from_scratch|food|cooking|drinks|bartender|comedy|lifestyle|entertainment|spanish|shorts,true,"High-quality cooking and bartending content with a comedic twist, perfect for adult learners.","Canal de coctelería y cocina con un toque de humor, donde el creador enseña a preparar bebidas y platillos mientras divierte a su audiencia.","Bartending and cooking channel with a comedic twist, where the creator teaches how to make drinks and dishes while entertaining the audience.",humorous,fast,medium,5,50,50,0,452160,8408732,844000,800,medium,high,strict_review,High-quality original content with good production value and engaging presentation.,https://www.youtube.com/shorts/nLGWQW1dUu0|https://www.youtube.com/shorts/H-5fe53nfB4|https://www.youtube.com/shorts/jORd2pu896o|https://www.youtube.com/shorts/68r8HrF8Fuc|https://www.youtube.com/shorts/Rfw1S8eqyu4
